Model,MAE,MSE,R² Score
Linear Regression,0.5332001304956555,0.5558915986952442,0.575787706032451
Ridge Regression,0.5332039182571148,0.5558034669932211,0.5758549611440126
Random Forest,0.32754256845930246,0.2553684927247781,0.8051230593157366
