Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7548387096774194,0.7291666666666666,0.5833333333333334,0.6481481481481481
Decision Tree,0.7741935483870968,0.7192982456140351,0.6833333333333333,0.7008547008547008
Random Forest,0.7483870967741936,0.7058823529411765,0.6,0.6486486486486487
